soc,glFullVersion
SM7450,"OpenGL ES 3.2 V@0615.73 (GIT@8f5499ec14, Ie6ef1a0a80, 1689341690) (Date:07/14/23)"
SM6450,"OpenGL ES 3.2 V@0615.80 (GIT@406382a20f, I986008d073, 1704447428) (Date:01/05/24)"
SM8450,"OpenGL ES 3.2 V@0615.73 (GIT@8f5499ec14, Ie6ef1a0a80, 1689341690) (Date:07/14/23)"
MT6877,OpenGL ES 3.2 v1.r32p1-01eac0.8135628637558d6d27e8ec61da0ffbb5
MT6769,OpenGL ES 3.2 v1.r32p1-01eac0.2a893c04ca0026c2e6802dbe7d7af5c5
MT6789,OpenGL ES 3.2 v1.r32p1-01eac0.394145956bc7cd8e697b330aba11e3d3
SM8350,"OpenGL ES 3.2 V@0615.73 (GIT@8f5499ec14, Ie6ef1a0a80, 1689341690) (Date:07/14/23)"
SM8635,"OpenGL ES 3.2 V@0762.15 (GIT@674f6c61df, Iec746bb8f9, 1712300122) (Date:04/05/24)"
MT6983,OpenGL ES 3.2 v1.r32p1-01eac0.b1c355f1ca75ee340751fc2d07d2e153
SM8450,"OpenGL ES 3.2 V@0615.0 (GIT@194d5e5755, I6561b7ccb3, 1691691459) (Date:08/10/23)"
MT6877V/TTZA,OpenGL ES 3.2 v1.r32p1-01eac0.b8cf1793b1173c0bb23abcfef1974de4
MT6769Z,OpenGL ES 3.2 v1.r32p1-01eac0.52688e0652bc37eab85ce86c674ab12f
MT6879V_T/ZA,OpenGL ES 3.2 v1.r32p1-01eac0.a031c769622e85782e9b68c066a81213
SM7450,"OpenGL ES 3.2 V@0615.76 (GIT@fc9849b050, Ibccd5936db, 1700474993) (Date:11/20/23)"
MT6781,OpenGL ES 3.2 v1.r32p1-01eac0.f8dc73e9e828783da7609cdc1c245dfa
EXYNOS 2100,OpenGL ES 3.2 v1.r38p0-01eac0-mbs2v41_0.65f90f7db733ed40f27c25ca33fc398f
SM7675,"OpenGL ES 3.2 V@0762.17 (GIT@f115f6bba1, I45c6b84a32, 1712917670) (Date:04/12/24)"
SM4350,"OpenGL ES 3.2 V@0530.0 (GIT@8699000cd8, I1027f1d7d9, 1649421937) (Date:04/08/22)"
SM8350,"OpenGL ES 3.2 V@0530.0 (GIT@12ae96cb63, I409bbc12eb, 1694603898) (Date:09/13/23)"
